Batch,loss,Time
100,1.0357458400726318,0.07886010200000015
200,0.9351888847351074,0.07787943799999653
300,0.9433211994171142,0.07591720699999627
400,0.979206895828247,0.07554063199999916
500,0.9216563129425048,0.07795034800000167
600,0.8818451023101807,0.08808617999999768
700,1.0850567436218261,0.08227824099999737
800,1.0531661462783815,0.07752217499999858
900,0.9048371982574462,0.07652491599999678
1000,0.9583771705627442,0.08033049199999454
1100,0.9961764621734619,0.07618424799999701
1200,0.9256273651123047,0.07644434999999561
1300,0.9217519187927246,0.07489761900000502
1400,1.06800950050354,0.07583965899999612
1500,1.062620635032654,0.07714922200000274
Total accumulated Loss
0.9746971062251499
Total Testing Time
1.2242131233215332
