Batch,loss,Time
100,1.0357458400726318,0.08017720800000205
200,0.9351888608932495,0.08023152100000175
300,0.9433212232589722,0.08447884799999628
400,0.9792069149017334,0.08201813799999513
500,0.9216562843322754,0.09049831000000097
600,0.8818450927734375,0.081670833000004
700,1.0850568723678589,0.07759821399999822
800,1.0531661462783815,0.07792620800000094
900,0.9048372220993042,0.07775693099999614
1000,0.9583771753311158,0.0882630010000014
1100,0.9961764287948608,0.08127826599999821
1200,0.9256273317337036,0.08532945999999697
1300,0.9217519235610961,0.095306879000006
1400,1.0680094814300538,0.09003664400000133
1500,1.0626206302642822,0.08745282300000667
Total accumulated Loss
0.9746971096311297
Total Testing Time
1.311230182647705
