Batch,loss,Time
100,1.0357459592819214,0.36217669799998475
200,0.9351889371871949,0.3787858119999896
300,0.9433211755752563,0.3555154300000254
400,0.9792069697380066,0.3597953459999985
500,0.9216564226150513,0.3756654929999854
600,0.8818450927734375,0.35771120999999084
700,1.0850569343566894,0.3655040130000202
800,1.0531662702560425,0.43727407000000085
900,0.9048372173309326,0.3747804820000056
1000,0.9583772325515747,0.3858957710000368
1100,0.9961764621734619,0.36107684699999254
1200,0.9256274700164795,0.36830991599998697
1300,0.9217518663406372,0.3715147230000184
1400,1.0680095958709717,0.34980827300000783
1500,1.0626206445693969,0.366955092000012
Total accumulated Loss
0.9746971611852769
Total Testing Time
5.738011360168457
